iter	Passed	Remaining
476	687	753
477	689	752
478	691	751
479	693	750
480	694	749
481	695	747
482	697	746
483	698	744
484	700	743
485	702	742
486	703	741
487	705	740
488	706	738
489	708	736
490	709	735
491	710	733
492	711	732
493	713	730
494	714	728
495	716	727
496	718	726
497	719	725
498	721	723
499	722	722
500	724	721
501	725	719
502	727	718
503	729	718
504	731	716
505	732	715
506	734	714
507	735	712
508	737	711
509	741	712
510	744	712
511	746	711
512	748	710
513	750	709
514	753	709
515	754	707
516	756	706
517	757	705
518	759	703
519	762	704
520	764	702
521	765	700
522	766	699
523	767	697
524	769	696
525	770	694
526	772	692
527	774	692
528	776	691
529	778	690
530	780	689
531	781	687
532	784	687
533	785	685
534	787	684
535	788	682
536	790	681
537	792	680
538	794	679
539	795	677
540	797	676
541	798	674
542	800	673
543	802	672
544	804	671
545	806	670
546	807	668
547	808	666
548	809	665
549	811	663
550	812	662
551	813	660
552	815	659
553	818	658
554	819	656
555	820	655
556	833	663
557	837	663
558	840	663
559	843	662
560	848	663
561	850	663
562	852	662
563	856	661
564	857	660
565	859	659
566	860	657
567	862	655
568	863	654
569	865	652
570	867	651
571	869	650
572	870	648
573	871	646
574	872	645
575	874	643
576	875	641
577	876	640
578	878	638
579	880	637
580	881	635
581	882	633
582	884	632
583	885	630
584	887	629
585	888	627
586	890	626
587	891	624
588	892	622
589	894	621
590	895	619
591	896	618
592	898	616
593	899	614
594	900	613
595	902	611
596	903	610
597	905	608
598	906	607
599	907	605
600	909	604
601	910	602
602	911	600
603	912	598
604	913	596
605	914	594
606	916	593
607	917	591
608	918	589
609	920	588
610	921	586
611	922	585
612	924	583
613	925	582
614	927	580
615	928	578
616	929	577
617	932	576
618	934	575
619	936	573
620	937	572
621	939	570
622	940	569
623	941	567
624	943	566
625	944	564
626	946	563
627	948	561
628	949	560
629	951	558
630	952	557
631	953	555
632	955	553
633	957	552
634	958	551
635	960	549
636	961	548
637	963	546
638	964	544
639	966	543
640	967	541
641	969	540
642	970	538
643	972	537
644	973	535
645	974	534
646	976	532
647	978	531
648	979	529
649	981	528
650	982	526
651	983	524
652	985	523
653	986	521
654	987	519
655	988	518
656	990	517
657	991	515
658	993	514
659	995	512
660	996	511
661	997	509
662	999	507
663	1000	506
664	1002	504
665	1003	503
666	1005	501
667	1006	500
668	1008	498
669	1009	497
670	1010	495
671	1012	494
672	1013	492
673	1014	490
674	1016	489
675	1017	487
676	1018	486
677	1020	484
678	1021	483
679	1023	481
680	1024	479
681	1025	478
682	1027	477
683	1029	475
684	1030	473
685	1032	472
686	1034	471
687	1035	469
688	1037	468
689	1038	466
690	1040	465
691	1041	463
692	1043	462
693	1044	460
694	1046	459
695	1047	457
696	1049	456
697	1051	454
698	1052	453
699	1054	451
700	1055	450
701	1057	448
702	1058	447
703	1060	445
704	1061	444
705	1062	442
706	1064	441
707	1065	439
708	1066	437
709	1067	436
710	1069	434
711	1071	433
712	1072	431
713	1074	430
714	1075	428
715	1076	427
716	1078	425
717	1080	424
718	1081	422
719	1082	421
720	1084	419
721	1086	418
722	1087	416
723	1088	415
724	1090	413
725	1091	412
726	1093	410
727	1094	409
728	1096	407
729	1097	405
730	1098	404
731	1100	403
732	1102	401
733	1103	399
734	1104	398
735	1106	396
736	1107	395
737	1109	393
738	1110	392
739	1111	390
740	1112	389
741	1114	387
742	1116	386
743	1117	384
744	1119	383
745	1120	381
746	1122	380
747	1123	378
748	1125	377
749	1125	375
750	1126	373
751	1128	372
752	1130	370
753	1132	369
754	1134	368
755	1136	366
756	1138	365
757	1139	363
758	1141	362
759	1143	361
760	1144	359
761	1146	358
762	1147	356
763	1149	354
764	1150	353
765	1151	351
766	1153	350
767	1155	348
768	1156	347
769	1158	345
770	1159	344
771	1161	343
772	1163	341
773	1164	339
774	1165	338
775	1166	336
776	1168	335
777	1170	333
778	1171	332
779	1173	330
780	1174	329
781	1175	327
782	1177	326
783	1179	324
784	1180	323
785	1182	321
786	1183	320
787	1185	318
788	1186	317
789	1188	315
790	1189	314
791	1191	312
792	1192	311
793	1193	309
794	1195	308
795	1196	306
796	1198	305
797	1199	303
798	1201	302
799	1202	300
800	1203	299
801	1205	297
802	1206	296
803	1208	294
804	1209	293
805	1211	291
806	1213	290
807	1215	288
808	1217	287
809	1218	285
810	1220	284
811	1222	282
812	1223	281
813	1225	279
814	1226	278
815	1228	276
816	1230	275
817	1231	274
818	1233	272
819	1234	271
820	1236	269
821	1237	267
822	1238	266
823	1240	264
824	1242	263
825	1243	262
826	1245	260
827	1247	259
828	1248	257
829	1250	256
830	1253	254
831	1255	253
832	1256	251
833	1257	250
834	1259	248
835	1261	247
836	1263	246
837	1266	244
838	1268	243
839	1270	241
840	1271	240
841	1272	238
842	1274	237
843	1276	235
844	1278	234
845	1280	233
846	1281	231
847	1282	229
848	1284	228
849	1285	226
850	1286	225
851	1288	223
852	1289	222
853	1292	220
854	1293	219
855	1294	217
856	1296	216
857	1298	214
858	1300	213
859	1301	211
860	1303	210
861	1307	209
862	1308	207
863	1309	206
864	1311	204
865	1312	203
866	1314	201
867	1316	200
868	1318	198
869	1320	197
870	1322	195
871	1323	194
872	1324	192
873	1327	191
874	1328	189
875	1329	188
876	1333	186
877	1334	185
878	1335	183
879	1336	182
880	1338	180
881	1339	179
882	1341	177
883	1342	176
884	1345	174
885	1346	173
886	1348	171
887	1349	170
888	1350	168
889	1351	167
890	1353	165
891	1355	164
892	1356	162
893	1358	161
894	1360	159
895	1361	158
896	1363	156
897	1364	155
898	1366	153
899	1368	152
900	1369	150
901	1370	148
902	1371	147
903	1373	145
904	1374	144
905	1375	142
906	1376	141
907	1377	139
908	1379	138
909	1381	136
910	1383	135
911	1384	133
912	1385	132
913	1387	130
914	1388	128
915	1390	127
916	1391	125
917	1393	124
918	1395	123
919	1397	121
920	1398	119
921	1399	118
922	1401	116
923	1403	115
924	1405	113
925	1407	112
926	1408	110
927	1409	109
928	1410	107
929	1412	106
930	1414	104
931	1415	103
932	1419	101
933	1420	100
934	1421	98
935	1422	97
936	1424	95
937	1425	94
938	1426	92
939	1428	91
940	1429	89
941	1432	88
942	1433	86
943	1434	85
944	1435	83
945	1436	82
946	1438	80
947	1439	78
948	1441	77
949	1444	76
950	1445	74
951	1446	72
952	1447	71
953	1449	69
954	1450	68
955	1451	66
956	1453	65
957	1454	63
958	1457	62
959	1459	60
960	1460	59
961	1461	57
962	1463	56
963	1464	54
964	1466	53
965	1467	51
966	1470	50
967	1471	48
968	1472	47
969	1473	45
970	1475	44
971	1476	42
972	1477	41
973	1479	39
974	1483	38
975	1484	36
976	1486	34
977	1487	33
978	1489	31
979	1490	30
980	1491	28
981	1493	27
982	1496	25
983	1497	24
984	1499	22
985	1500	21
986	1501	19
987	1503	18
988	1504	16
989	1507	15
990	1509	13
991	1510	12
992	1511	10
993	1513	9
994	1514	7
995	1516	6
996	1517	4
997	1519	3
998	1521	1
999	1522	0
