iter	RMSE
0	11367.15428
1	11042.69794
2	10727.91032
3	10429.31952
4	10132.00685
5	9847.725186
6	9584.828517
7	9324.442855
8	9090.073897
9	8872.092502
10	8666.665046
11	8451.403616
12	8256.132397
13	8066.808432
14	7878.516734
15	7700.381493
16	7516.522755
17	7350.026595
18	7189.051866
19	7044.477482
20	6905.489646
21	6763.895026
22	6666.603784
23	6551.52416
24	6438.282475
25	6329.0086
26	6219.159055
27	6120.813772
28	6023.29536
29	5935.763716
30	5846.963599
31	5758.758833
32	5681.676609
33	5618.811498
34	5557.479812
35	5494.059189
36	5434.846669
37	5373.986564
38	5315.736745
39	5270.261362
40	5214.620965
41	5169.237481
42	5123.19443
43	5079.676469
44	5040.974879
45	5006.185986
46	4976.166821
47	4952.45279
48	4917.971377
49	4884.210241
50	4861.256827
51	4832.997502
52	4807.344688
53	4781.714037
54	4752.588987
55	4727.312089
56	4706.662357
57	4687.975832
58	4665.113943
59	4646.178469
60	4629.865809
61	4617.171388
62	4600.392984
63	4582.801266
64	4567.717266
65	4550.620986
66	4538.302841
67	4522.999746
68	4511.732309
69	4503.196718
70	4489.58791
71	4477.456883
72	4463.020837
73	4456.835767
74	4448.378442
75	4435.509095
76	4430.266342
77	4421.663382
78	4416.338726
79	4408.219399
80	4399.918113
81	4391.234862
82	4387.009363
83	4381.571267
84	4373.548351
85	4365.582127
86	4359.776544
87	4354.456938
88	4348.747702
89	4342.908765
90	4336.192027
91	4330.422691
92	4324.76961
93	4319.48333
94	4315.632061
95	4310.433343
96	4308.975959
97	4302.196147
98	4298.679975
99	4293.366405
100	4290.157155
101	4282.963942
102	4279.682582
103	4274.231645
104	4267.666464
105	4263.48068
106	4259.628572
107	4254.820042
108	4251.997878
109	4244.14102
110	4241.918476
111	4239.022384
112	4235.705073
113	4233.736143
114	4230.684555
115	4224.767206
116	4222.424333
117	4220.666679
118	4219.780745
119	4216.18283
120	4209.573887
121	4208.161568
122	4205.795867
123	4200.226381
124	4199.963735
125	4197.264276
126	4191.983296
127	4189.651558
128	4186.765232
129	4183.464396
130	4181.109746
131	4176.817718
132	4173.195457
133	4170.999503
134	4165.534968
135	4163.582125
136	4160.485576
137	4157.914517
138	4155.127396
139	4152.755298
140	4149.525032
141	4144.264584
142	4141.948711
143	4134.995293
144	4132.528104
145	4130.171352
146	4126.982512
147	4122.09246
148	4118.92479
149	4112.970119
150	4111.287617
151	4108.891629
152	4105.59754
153	4102.908519
154	4101.307642
155	4098.569496
156	4097.051165
157	4094.349072
158	4091.85578
159	4086.327178
160	4084.936264
161	4081.356158
162	4079.418714
163	4076.483741
164	4071.226259
165	4068.275263
166	4064.829723
167	4062.95947
168	4060.658195
169	4056.892047
170	4054.352917
171	4051.228788
172	4047.132129
173	4043.109828
174	4040.574796
175	4038.070317
176	4032.926021
177	4029.93608
178	4029.781055
179	4026.566973
180	4021.487953
181	4020.493942
182	4018.564904
183	4017.534855
184	4013.985972
185	4008.874711
186	4005.021822
187	4003.651385
188	4000.581739
189	3997.479078
190	3995.894809
191	3994.399075
192	3990.355285
193	3987.351661
194	3984.955168
195	3982.982162
196	3981.324668
197	3977.213041
198	3975.526811
199	3974.511698
200	3971.106719
201	3970.428304
202	3967.375846
203	3965.831318
204	3962.735974
205	3959.829696
206	3958.693016
207	3957.500211
208	3955.814891
209	3953.291329
210	3950.980539
211	3949.650316
212	3947.570257
213	3946.825025
214	3945.290929
215	3943.540825
216	3941.913664
217	3940.017058
218	3938.621627
219	3935.730349
220	3933.479151
221	3929.575736
222	3928.171124
223	3924.749415
224	3922.809236
225	3920.117651
226	3917.151092
227	3913.293161
228	3911.981777
229	3909.684016
230	3908.366369
231	3907.092977
232	3900.178751
233	3898.929
234	3897.566586
235	3895.449686
236	3894.464837
237	3893.198585
238	3891.992782
239	3891.386136
240	3890.809365
241	3887.335851
242	3883.602522
243	3880.912485
244	3878.291978
245	3877.043906
246	3873.842418
247	3873.209539
248	3870.499639
249	3869.32544
250	3867.118767
251	3865.275436
252	3864.563059
253	3863.336887
254	3862.307136
255	3862.200833
256	3861.266223
257	3860.544211
258	3859.855526
259	3857.612736
260	3853.49553
261	3851.038729
262	3850.387527
263	3849.628546
264	3849.079348
265	3846.935552
266	3843.482095
267	3839.549598
268	3837.6141
269	3835.684841
270	3834.94446
271	3834.21036
272	3831.230461
273	3830.264661
274	3828.026773
275	3825.466455
276	3824.576869
277	3823.958894
278	3819.298386
279	3818.262009
280	3817.014995
281	3815.965618
282	3814.043962
283	3813.438796
284	3812.44608
285	3810.287677
286	3809.274064
287	3808.330303
288	3807.390164
289	3806.41196
290	3805.818805
291	3803.353513
292	3801.262168
293	3800.443689
294	3799.773333
295	3799.157043
296	3794.686739
297	3793.42292
298	3790.803701
299	3790.433953
300	3788.287291
301	3786.545371
302	3785.846471
303	3779.992253
304	3778.591828
305	3774.89103
306	3772.057443
307	3771.156216
308	3770.847884
309	3769.975897
310	3769.407979
311	3768.19211
312	3764.42772
313	3764.100145
314	3762.929092
315	3761.782374
316	3761.246428
317	3758.824933
318	3758.454951
319	3756.31451
320	3755.474329
321	3751.372351
322	3749.611578
323	3749.163474
324	3747.089084
325	3746.542164
326	3745.303093
327	3744.50007
328	3743.746946
329	3741.609849
330	3740.873921
331	3740.370194
332	3739.318191
333	3738.380551
334	3731.879329
335	3731.594919
336	3729.801448
337	3729.051028
338	3727.831573
339	3724.590856
340	3723.898568
341	3723.209446
342	3722.944255
343	3719.105466
344	3715.487779
345	3714.749988
346	3712.02792
347	3711.240738
348	3710.80215
349	3709.320171
350	3708.968095
351	3708.46857
352	3704.831769
353	3703.400823
354	3701.49639
355	3699.527685
356	3699.08002
357	3695.876964
358	3694.156728
359	3693.782152
360	3692.038294
361	3691.682928
362	3691.238754
363	3690.459901
364	3690.014314
365	3689.237935
366	3688.596494
367	3688.297491
368	3687.886772
369	3687.271336
370	3683.543909
371	3683.144616
372	3678.980959
373	3677.813639
374	3676.366784
375	3674.921652
376	3674.339347
377	3670.276106
378	3669.686911
379	3668.980426
380	3668.311789
381	3666.079986
382	3661.236551
383	3659.742475
384	3656.29873
385	3654.866075
386	3654.333524
387	3652.720096
388	3650.209719
389	3648.64106
390	3648.218763
391	3646.736898
392	3646.382382
393	3646.214511
394	3645.662679
395	3644.555478
396	3643.365692
397	3642.984853
398	3642.393236
399	3639.623088
400	3637.566073
401	3637.248531
402	3636.726879
403	3635.090725
404	3633.494418
405	3629.962961
406	3629.649476
407	3629.042285
408	3625.63814
409	3622.395689
410	3619.058809
411	3615.946911
412	3614.238615
413	3614.056212
414	3612.923477
415	3612.691401
416	3612.465131
417	3611.924644
418	3610.054275
419	3609.889611
420	3608.310629
421	3605.104573
422	3601.526747
423	3601.007951
424	3599.712115
425	3598.580019
426	3595.412553
427	3594.88884
428	3590.70246
429	3590.549139
430	3588.069236
431	3587.565304
432	3587.093729
433	3585.495325
434	3583.056548
435	3579.853488
436	3578.398819
437	3576.564013
438	3576.404669
439	3576.114558
440	3575.03549
441	3573.722051
442	3572.65409
443	3572.20987
444	3571.845267
445	3571.370317
446	3569.437307
447	3568.917373
448	3566.010375
449	3565.558767
450	3565.150506
451	3562.044446
452	3561.511465
453	3559.973348
454	3557.974255
455	3557.779709
456	3553.97312
457	3552.480747
458	3552.122399
459	3551.584509
460	3550.161056
461	3549.899583
462	3548.563818
463	3547.253256
464	3547.006963
465	3544.645829
466	3543.758839
467	3542.186439
468	3541.913536
469	3541.686132
470	3539.402667
471	3537.036471
472	3535.940978
473	3534.574694
474	3534.383113
475	3530.747712
476	3527.073443
477	3524.699129
478	3523.729634
479	3522.334029
480	3520.868646
481	3520.470012
482	3520.257282
483	3520.027419
484	3517.910184
485	3517.507583
486	3516.954619
487	3516.53154
488	3516.29049
489	3513.847325
490	3509.345788
491	3507.704466
492	3507.000906
493	3505.379879
494	3504.473593
495	3501.919624
496	3501.454677
497	3501.00036
498	3499.784003
499	3495.742672
500	3494.412684
501	3492.422683
502	3491.431591
503	3491.049234
504	3490.616411
505	3489.209711
506	3487.007984
507	3484.40865
508	3482.929705
509	3482.254393
510	3481.834895
511	3481.641983
512	3480.644693
513	3478.42081
514	3478.03246
515	3474.739837
516	3472.214821
517	3471.226219
518	3469.77914
519	3466.951822
520	3465.046871
521	3461.56589
522	3460.312982
523	3459.946991
524	3458.335061
525	3457.330646
526	3455.823388
527	3455.641393
528	3451.653423
529	3449.260912
530	3448.596486
531	3448.032243
532	3447.856861
533	3446.423453
534	3443.185573
535	3440.699673
536	3437.214228
537	3437.032516
538	3434.352292
539	3431.964341
540	3430.960884
541	3430.247776
542	3428.468919
543	3427.601237
544	3427.18836
545	3426.858703
546	3426.140102
547	3424.970424
548	3422.253445
549	3418.0383
550	3417.877879
551	3417.714897
552	3416.248591
553	3415.946115
554	3414.412362
555	3414.215596
556	3412.075559
557	3410.68926
558	3408.423026
559	3408.2339
560	3406.42531
561	3406.248166
562	3405.947835
563	3403.494161
564	3403.331577
565	3402.105334
566	3398.814442
567	3398.549462
568	3395.085347
569	3391.943656
570	3391.33509
571	3391.051647
572	3390.607303
573	3389.065265
574	3388.910059
575	3388.131965
576	3385.965416
577	3385.546088
578	3383.348708
579	3380.828475
580	3379.166073
581	3379.016249
582	3378.067666
583	3375.28344
584	3374.99666
585	3373.301757
586	3372.546915
587	3371.197939
588	3371.057813
589	3368.506527
590	3366.632901
591	3365.390096
592	3363.515444
593	3362.811693
594	3360.979238
595	3357.779321
596	3357.646005
597	3356.139784
598	3355.759102
599	3355.364553
600	3354.401243
601	3354.337925
602	3354.21623
603	3354.097441
604	3351.786352
605	3350.622111
606	3348.945036
607	3346.872743
608	3346.751466
609	3346.564929
610	3345.420228
611	3345.159442
612	3343.012898
613	3342.547859
614	3341.425261
615	3340.880769
616	3340.088581
617	3339.972198
618	3339.722609
619	3337.205355
620	3334.714473
621	3334.314613
622	3332.859668
623	3332.749922
624	3331.937995
625	3329.977765
626	3328.439265
627	3327.504359
628	3326.903158
629	3326.688964
630	3325.642579
631	3324.542324
632	3323.009059
633	3319.920167
634	3318.843283
635	3318.733546
636	3315.154525
637	3314.045063
638	3313.093055
639	3311.563584
640	3308.019338
641	3307.10177
642	3306.76124
643	3305.748297
644	3302.796967
645	3302.673747
646	3300.192349
647	3298.116667
648	3296.824748
649	3295.59086
650	3294.278623
651	3292.970876
652	3292.080968
653	3291.203221
654	3291.101315
655	3289.805075
656	3289.024813
657	3287.930215
658	3287.62648
659	3286.307273
660	3283.415483
661	3280.059761
662	3279.941097
663	3278.931191
664	3276.236745
665	3273.787225
666	3272.264365
667	3271.274868
668	3271.039001
669	3270.938151
670	3269.340682
671	3265.952455
672	3265.854974
673	3265.752177
674	3264.921662
675	3263.690949
676	3260.989035
677	3259.920227
678	3259.104012
679	3258.581462
680	3258.041871
681	3257.837225
682	3256.50985
683	3254.969906
684	3251.610653
685	3249.137299
686	3246.728363
687	3245.964051
688	3244.739986
689	3244.459058
690	3241.729595
691	3241.517524
692	3241.422282
693	3241.251814
694	3240.402054
695	3240.197457
696	3238.551474
697	3237.763759
698	3236.228748
699	3233.945048
700	3233.756967
701	3231.832561
702	3228.751892
703	3226.104045
704	3226.008641
705	3223.413788
706	3223.229574
707	3223.047696
708	3220.70196
709	3218.912387
710	3217.867927
711	3216.983482
712	3216.895726
713	3216.457955
714	3215.622078
715	3212.410447
716	3212.321029
717	3210.211696
718	3208.947144
719	3206.314328
720	3204.666397
721	3202.832615
722	3202.744197
723	3201.215595
724	3200.264859
725	3199.902836
726	3198.681111
727	3197.960477
728	3196.322611
729	3195.292836
730	3194.691337
731	3193.781467
732	3192.445937
733	3190.072314
734	3186.963616
735	3186.291925
736	3183.835096
737	3182.891143
738	3179.379068
739	3178.353177
740	3176.389387
741	3176.192923
742	3175.628574
743	3172.583997
744	3171.758645
745	3171.036002
746	3170.946409
747	3169.770042
748	3169.691712
749	3169.616595
750	3168.68534
751	3167.561928
752	3167.404582
753	3163.96102
754	3162.743277
755	3161.833961
756	3159.434048
757	3157.89993
758	3154.058583
759	3153.896085
760	3151.372421
761	3149.982212
762	3149.111598
763	3149.043014
764	3148.037404
765	3145.502039
766	3144.02622
767	3141.790525
768	3140.763837
769	3140.691217
770	3138.202677
771	3137.955905
772	3137.882294
773	3136.604306
774	3134.822832
775	3134.701172
776	3134.467292
777	3133.384135
778	3130.927382
779	3129.936773
780	3128.2788
781	3126.879875
782	3126.148241
783	3124.416386
784	3124.218442
785	3122.942159
786	3122.287952
787	3120.392359
788	3119.575764
789	3116.948042
790	3114.06866
791	3112.597115
792	3112.425069
793	3111.490527
794	3110.269616
795	3106.700894
796	3105.427078
797	3104.878536
798	3104.816807
799	3104.781059
800	3103.384715
801	3101.40094
802	3098.701156
803	3096.495389
804	3094.890404
805	3093.939499
806	3093.88265
807	3092.265121
808	3091.814446
809	3091.164428
810	3089.771005
